1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.999999995238013,0.7880086536879233,0.6028567006354474,0.504068132498981,0.4040659768814132
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999788906523,0.7746532013003213,0.5923241375639698,0.49510862623824153,0.3946360061169578
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999998946478097,0.7594346520031913,0.5802357191259844,0.4846951447597135,0.38374027790247334
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.999999400944727,0.7419158221683501,0.5661928813720714,0.47244128902154364,0.3710271890024696
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.999996076660477,0.721499180689245,0.5496419231320123,0.45781188961320257,0.35603049690210425
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999702430001268,0.6973387388900927,0.5297891731700543,0.4400456380820876,0.3381231435236032
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9997419727949303,0.6681827958797589,0.5054541965076736,0.4180263398645627,0.3164508422094237
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.997622223627884,0.6320733100519826,0.47480301189931523,0.39006243153656195,0.2898389088092516
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999972,0.9816586485022102,0.5857212271380832,0.4348377396317209,0.3535041152648997,0.25667065649231807
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999998029,0.9187420127275678,0.5230697343216387,0.3803805666318496,0.30410479559567805,0.21475806181853607
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999698823,0.7926179252624511,0.431582971679059,0.30211465183140795,0.23521324760251786,0.16129096819211944
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999806755715,0.579469761018404,0.2819693480677354,0.1842934700537711,0.13831711876695335,0.09310723800971846
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999373,0.9687770295796172,0.09715809506090223,0.0483326834874814,0.0323688986017281,0.02465741681832998,0.017422778351874568
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.04429424933870235,0.0010224475386429264,0.0005179504688512712,0.0003470250173048781,0.00026113191673818477,0.00020959683554066627,0.00017550385855604023,0.00015190590110318426,0.00012436853686369244
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.7724272133356406e-6,1.2456894900934048e-6,7.408334220268081e-7,5.258302990314027e-7,4.070531298752433e-7,3.3183778116082433e-7,2.799971406167962e-7,2.421445813146514e-7,2.1333420337053064e-7,1.9073129157285102e-7,1.7264628517957442e-7,1.5818886716944016e-7,1.3993215669252347e-7
1.0,1.0,5.804180855179013e-9,1.0569616687862736e-9,5.653924048274006e-10,3.823356033449219e-10,2.874970549547926e-10,2.2974068674625732e-10,1.909812639293648e-10,1.632231674226622e-10,1.4239429593503082e-10,1.2620597274886563e-10,1.1327464123471677e-10,1.0271563331704587e-10,9.393760419548615e-11,8.65310334406871e-11,8.020457737420725e-11,7.474817254722685e-11,7.0015752671149e-11,6.594775590717825e-11,6.081429120240654e-11
5.0286014936029954e-14,4.2436564404430836e-14,3.6633218954130224e-14,3.217749619906532e-14,2.865460742121962e-14,2.580315432172011e-14,2.3450461463399428e-14,2.1478011371587375e-14,1.9801834715806863e-14,1.8360826011705724e-14,1.7109489867916143e-14,1.6013277923486067e-14,1.5045500137116094e-14,1.4185225578276137e-14,1.3415824545239809e-14,1.2723939842973344e-14,1.2098759706831549e-14,1.153153738511644e-14,1.1015519515128463e-14,1.0549716781706448e-14,9.988264274664798e-15
1.2074806969665832e-18,1.1325499808803896e-18,1.0658825656788015e-18,1.0062160591778624e-18,9.525296333091146e-19,9.039892848477915e-19,8.59907264701793e-19,8.19711586761958e-19,7.829228185523988e-19,7.491362059871264e-19,7.1800775385787045e-19,6.8924326997114225e-19,6.625896436705355e-19,6.378278024248921e-19,6.147668821863251e-19,5.932391229788652e-19,5.730946937753515e-19,5.541944774245461e-19,5.363973906775885e-19,5.196807333688106e-19,5.012029693037109e-19
9.014147907235415e-24,8.726472980478444e-24,8.455050871910781e-24,8.198591431546958e-24,7.955934393438184e-24,7.726033516228928e-24,7.507942927647747e-24,7.300805300918963e-24,7.103841544139672e-24,6.916341715436005e-24,6.737656880642098e-24,6.567191587700811e-24,6.404396494868835e-24,6.248760330699349e-24,6.099799419778959e-24,5.9570403403191474e-24,5.819982891086996e-24,5.688001132127881e-24,5.560048855112914e-24,5.435290110060054e-24,5.315251776718327e-24
