1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999943859536,0.9020633284106724,0.7881533877523909,0.6929457617452535,0.6117168868441224,0.5411039354460475,0.47831088815188055,0.4214348947741137,0.3674851326097993,0.31473340257835936,0.24796523103983073
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999972485822,0.9020633284106724,0.7881533877523909,0.6929457617452535,0.6117168868441224,0.5411039354460474,0.4783108881518805,0.4214348947741137,0.3674851326097993,0.3147334025783593,0.24796523103983065
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999995958095,0.9020633284106724,0.7881533877523909,0.6929457617452535,0.6117168868441224,0.5411039354460475,0.4783108881518805,0.42143489477411367,0.3674851326097993,0.31473340257835936,0.24796523103983073
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999998707,0.9020633284112803,0.7881533877523907,0.6929457617452535,0.6117168868441225,0.5411039354460475,0.47831088815188055,0.42143489477411367,0.3674851326097994,0.31473340257835936,0.24796523103983065
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.999974572745523,0.7881533877523909,0.6929457617452535,0.6117168868441224,0.5411039354460474,0.4783108881518805,0.4214348947741136,0.3674851326097994,0.31473340257835936,0.24796523103983062
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7881533877523952,0.6929457617452535,0.6117168868441224,0.5411039354460475,0.4783108881518805,0.4214348947741137,0.3674851326097994,0.3147334025783594,0.2479652310398307
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6929457617452535,0.6117168868441224,0.5411039354460475,0.4783108881518805,0.42143489477411367,0.3674851326097993,0.3147334025783594,0.24796523103983062
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.692945761745451,0.6117168868441223,0.5411039354460475,0.47831088815188055,0.4214348947741136,0.3674851326097994,0.3147334025783594,0.24796523103983073
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6117168868441225,0.5411039354460475,0.47831088815188055,0.4214348947741136,0.3674851326097993,0.3147334025783594,0.24796523103983073
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6117170837117512,0.5411039354460475,0.47831088815188055,0.4214348947741137,0.3674851326097994,0.3147334025783594,0.24796523103983076
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5411039654829719,0.4783108881518807,0.4214348947741137,0.3674851326097993,0.3147334025783594,0.24796523103983076
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6521440212612681,0.47832305220535426,0.42143489478989965,0.3674851326097996,0.3147334025783594,0.24796523103983095
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5586040676280026,0.44006900438360225,0.3676256207014642,0.31473354125254366,0.24818492950096624
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6711164036736846,0.49529668560856166,0.40080764442767003,0.333128960355395,0.08596788091371887
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999997029,0.531898175202596,0.4025095045354256,0.15196879852302392,0.08596773109608526
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999487,0.5605763095856958,0.2957404820464681,0.15196879664313614,0.085967731090784
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999618,0.5813044169046119,0.29573686066446137,0.15196879664313614,0.08596773108853388
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.999999999999963,0.5813047210052033,0.29573686066446125,0.15196879664313614,0.0859677310872104
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999626,0.5813047210052031,0.29573686066446125,0.15196879664313614,0.08596773108633428
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999624,0.5813047210052031,0.29573686066446125,0.15196879664313614,0.08596773108571282
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999623,0.5813047210052031,0.29573686066446125,0.15196879664313614,0.08596773108525099
