1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
4.5949890567281817e-144,1.1653723459562556e-106,1.0770622796632914e-85,7.643449772516941e-71,3.0373383629788598e-59,1.1159599853135117e-49,1.6400435389440186e-41,2.288804771603529e-34,5.274005991649489e-28,2.912997228267399e-22,4.9807430150358204e-17,3.105095269760495e-12,7.442740874365759e-8,0.0005499864962634355,0.19659523571136495,0.7696721727480293,0.9673549651202745,0.9921581139497201,0.9967364388355713,0.9981899702305432
5.546374314027608e-144,1.471764628948153e-106,1.389146530928321e-85,9.995599789138964e-71,4.022058109236429e-59,1.498519257291041e-49,2.2408474819166517e-41,3.1993198838364204e-34,7.600635117307036e-28,4.373984041230884e-22,7.893464413794732e-17,5.25159461719105e-12,1.329600998491852e-7,0.0009308364439993679,0.23029030450924415,0.8177960342073886,0.9780086578024436,0.9941668084909436,0.997387579606232,0.9984850658713863
6.678408685518445e-144,1.8579714462405764e-106,1.7923683132382334e-85,1.308296245718649e-70,5.3337138572767395e-59,2.017196152307294e-49,3.0754177422839925e-41,4.5092352034239175e-34,1.1125902171950418e-27,6.765577954697555e-22,1.324389373552706e-16,9.917059138529451e-12,2.923403566608311e-7,0.0021885187732628396,0.35990912626554333,0.9551544545984992,0.9926918442713616,0.9972146687264747,0.9984954185971829,0.9990284661993064
8.36999495297027e-144,2.4773541714722386e-106,2.4584238932334912e-85,1.8276376603047538e-70,7.576860791644307e-59,2.9221229827965448e-49,4.5731575044826563e-41,6.962949705764957e-34,1.819132658035366e-27,1.2116567943573046e-21,2.765789821512477e-16,2.7394711947642612e-11,1.4226989565807082e-6,0.04321446832480673,0.983308051105629,0.9963684202423672,0.9983963886569867,0.9990627414542995,0.9993644331769296,0.9995280927646855
1.056260352527511e-143,3.3526918080598753e-106,3.433406309752878e-85,2.6037733091453987e-70,1.0990265295519937e-58,4.3293608277098405e-49,6.976702514688361e-41,1.1103088973909343e-33,3.1166467762785958e-27,2.3550240448404935e-21,6.901077354922635e-16,1.2633095028232254e-10,0.00010543985421050282,0.9926068370007202,0.9979908767353773,0.9990163407927957,0.99939071736131,0.9995710045444071,0.999672845601145,0.9997366919822366
1.4295910522650157e-143,5.023118151257705e-106,5.380382307917111e-85,4.1935522697509063e-70,1.812914860130034e-58,7.345083119893824e-49,1.231674841737226e-40,2.0877936431691715e-33,6.542451541699839e-27,6.143036318449093e-21,3.065253714529e-15,5.6914742442023086e-9,0.9961642988298912,0.9988126223728755,0.9993721042110435,0.999592480915056,0.9997038600613057,0.9997688866312634,0.9998106425674189,0.9998393311019781
2.0265403596507531e-143,8.14190122624878e-106,9.2422304923151e-85,7.449386437679476e-70,3.310425741269722e-58,1.3839983456784668e-48,2.4274911934934648e-40,4.43333686931259e-33,1.5989477865169943e-26,2.062489667542132e-20,2.971607586573781e-14,0.9946477068206491,0.9988674697546679,0.999418998453931,0.9996272656915727,0.9997306949539694,0.9997904407102557,0.9998285267708434,0.9998545563952059,0.9998732917942005
3.5735176042126885e-143,1.8595580840418947e-105,2.355711272279618e-84,2.0140003931791396e-69,9.344422063702954e-58,4.0853947303614605e-48,7.626966733778553e-40,1.5500052885964076e-32,6.95698271077852e-26,1.6139116510408888e-19,9.835543832202367e-12,0.9984081441319085,0.9992707070559992,0.9995604087187929,0.999695215720703,0.9997695468073178,0.9998153066739063,0.9998457510026241,0.9998672034179188,0.9998830009093356
9.688586304660164e-143,8.64368911828867e-105,1.368874000039215e-83,1.3059903022380014e-68,6.479140162695882e-57,2.9940551081750293e-47,5.976642405829381e-39,1.3603235952665366e-31,7.87489508939878e-25,4.4206993130491415e-18,0.9960914107788958,0.9987826636694682,0.9993660963955392,0.9995990160774744,0.999714843362825,0.9997810677186219,0.9998227746056648,0.9998509544452036,0.9998710325402236,0.9998859409838977
8.176015879910315e-142,2.305792408880495e-103,5.745536110116617e-82,6.746485361521735e-67,3.73255149360571e-55,1.846244099207701e-45,3.916222086236113e-37,9.811111747326202e-30,7.39430420559365e-23,2.1690300699643637e-15,0.9973797792887715,0.9989220278476517,0.999410096896158,0.9996181999893781,0.9997249645022672,0.9997871365143999,0.9998267611255772,0.9998537566462933,0.9998731071322661,0.9998875407488312
1.1278720093885988e-140,1.0525964087012283e-101,4.0832217528431925e-80,5.834847481072036e-65,3.563446811969992e-53,1.864877132156148e-43,4.137613245092661e-35,1.1170352246166853e-27,1.105905159255776e-20,8.829102955002798e-11,0.997669661164797,0.9989823981661492,0.9994313247403409,0.9996278966435532,0.9997302129608625,0.9997903333886927,0.9998288828607361,0.9998552586489029,0.9998742247411826,0.9998884057339408
2.869670692406951e-139,8.73701336465009e-100,5.145821345055143e-78,8.830536976070741e-63,5.911339089401659e-51,3.2616101095729965e-41,7.573298926691903e-33,2.2385570710919764e-25,3.4320717804007055e-18,0.9932545405433064,0.9978189458652564,0.9990207420335023,0.9994456761968646,0.9996346582769577,0.9997339399749662,0.9997926301512808,0.9998304192656576,0.9998563523321755,0.999875041794179,0.9998890399736919
6.360423270384041e-138,4.7823495254543434e-98,3.847858343124767e-76,7.569404043827028e-61,5.427706657324563e-49,3.119086505396834e-39,7.532636074550269e-31,2.4504303885978188e-23,7.206525113247483e-16,0.9938494648659464,0.9978964551184134,0.9990430524192581,0.9994543952741721,0.9996388629365902,0.999736290965691,0.9997940926805551,0.9998314040177491,0.999857056597075,0.9998755697229269,0.9998894508224554
