1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0.9999999999999977,0.9999999999999981,0.9999999999999989,0.9999999999999998,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.9999999998474864,0.9999999998783089,0.9999999999157766,0.9999999999771674,1.0000000000000002,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.9999867564573,0.9999888931922531,0.9999915294714191,0.9999964798763424,0.9999999999983615,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.9213903288147776,0.9243318752148502,0.9280494767287133,0.9352046426733607,0.999745940002013,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.6080974201485015,0.6114097084897979,0.6151416497262121,0.6194821667980052,0.6252734208404723,0.6591409390104854,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.30820560688365717,0.3118908799638181,0.3159878832347174,0.3205797299450381,0.32579311162981783,0.331899651708251,0.34039134025245155,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.03210098090417138,0.035069214355305016,0.038513026441968475,0.04253428940399051,0.047267369389315736,0.052904957983205256,0.05978975043110895,0.06911902805260217,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3.3914479345418486e-7,4.336393404816805e-7,5.718383974041536e-7,7.832683424996378e-7,1.1259405039023295e-6,1.726781638161607e-6,2.9145691702025054e-6,5.863342018287753e-6,2.243681218038194e-5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.650010632090912e-13,2.161558074121989e-13,2.934707426259194e-13,4.1653459809630357e-13,6.258450750066339e-13,1.0150615234692794e-12,1.839125813145119e-12,4.004494432341102e-12,1.3106915062680058e-11,0.999999999999779,0.9999999999999952,0.9999999999999972,0.9999999999999979,0.9999999999999981,0.9999999999999982,0.9999999999999983,0.9999999999999983,0.9999999999999983,0.9999999999999983,0.9999999999999986,0.9999999999999986
2.688991295283528e-20,3.5596193138877265e-20,4.891927773187055e-20,7.042823498327718e-20,1.0759494860387451e-19,1.7786342978256983e-19,3.2864606370042874e-19,7.224105347763416e-19,2.1978577547391958e-18,1.6742368884145674e-17,0.9999965366092041,0.9999975962261897,0.9999978587281299,0.9999979744984477,0.9999980357503662,0.9999980712753491,0.9999980930205111,0.9999981067842145,0.9999981156693836,0.9999981213771334,0.9999981241340831
