1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9992613995893646,0.5303904939811982,0.20163151267159746,0.032899812601646594,0.002141127990200607,0.0004963713534825858,0.00020562594953905388,0.00011045993668229666,6.849807988891161e-5,4.6494011765051185e-5,3.3574084084285915e-5,2.5360186508473753e-5,1.9821180417124612e-5
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9992656489825525,0.5303904946438652,0.2016315918925281,0.032960624579569595,0.002149203923151146,0.0004975464159721006,0.0002059607413522567,0.00011059363626614574,6.856290935072998e-5,4.652961420981989e-5,3.3595393697468045e-5,2.5373767654867532e-5,1.9830257915105744e-5
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9992705082570421,0.5303904953839716,0.20163167964529638,0.03302900879104022,0.0021584565715705973,0.0004988938068731945,0.00020634454446186512,0.00011074687007289328,6.863719530410679e-5,4.657040295905441e-5,3.361980406494464e-5,2.5389323061553715e-5,1.9840653817995526e-5
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9992761341336185,0.5303904962175567,0.20163177752762765,0.033106606536544445,0.002169184762704534,0.000500457619444575,0.00020678987556471722,0.00011092461519389249,6.872334224635703e-5,4.661769446364736e-5,3.364810110253714e-5,2.5407352482950687e-5,1.9852701477547286e-5
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9992827493882444,0.5303904971661044,0.20163188761830228,0.033195621304494,0.0021818061781451446,0.0005022996196089596,0.00020731425686446324,0.00011113383361367854,6.882471129276036e-5,4.6673327858015224e-5,3.368138223253656e-5,2.5428553465631826e-5,1.986686600853991e-5
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9992906883907681,0.5303904982595554,0.20163201270887646,0.0332991128007036,0.002196927993991384,0.0005045098153688292,0.00020794319993884856,0.00011138465122835141,6.894618668579019e-5,4.6739973722066025e-5,3.372124001765668e-5,2.545393774356544e-5,1.988382171049016e-5
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99930049985244,0.5303904995421098,0.20163215671674406,0.033421523236367164,0.0022154790079972277,0.0005072262534749565,0.00020871578123845633,0.00011169255597937528,6.909523008055639e-5,4.682170786981334e-5,3.377010302233628e-5,2.5485047084169555e-5,1.9904595523936575e-5
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.999313365789048,0.5303905010855586,0.20163232551507632,0.03356971423999526,0.0022389816265019494,0.0005106757762148811,0.00020969607842290794,0.00011208289230303145,6.928403088451246e-5,4.6925179412239536e-5,3.383192864834667e-5,2.5524391474265864e-5,1.9930857957592477e-5
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999740902443,0.5303905030374828,0.2016325289522037,0.03375531395467405,0.0022701919204241652,0.0005152696606543893,0.00021099984486538215,0.00011260129448110025,6.953448044144318e-5,4.706230555629804e-5,3.391379826810025e-5,2.5576456314349154e-5,1.9965590900499507e-5
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5304160673217271,0.20163278795428943,0.034001346677429774,0.0023149437553673744,0.000521876392126768,0.00021286977841645358,0.00011334290488190462,6.989202829009565e-5,4.725774957586959e-5,3.403033095692072e-5,2.5650483113731064e-5,2.0014928039067155e-5
