1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9966534953600159,0.6860585690628906,0.5315060638231168,0.4431980801186839,0.37168331079358485
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9906935961532428,0.670842296197835,0.5196126047776163,0.43311727747117773,0.3618171312094787
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999997,0.9778467359850282,0.6535881184191799,0.5060255968129641,0.4214996169009433,0.35041650195488677
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999978,0.9563553738616283,0.6338237843828279,0.4903273827934254,0.4079599361981296,0.33711704377973195
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999757,0.9268461268530483,0.6109056385628865,0.47194545593247017,0.3919744594021438,0.32143877791343056
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999996503,0.8899344497754212,0.5839274556063956,0.4500731802441465,0.3728146162119522,0.3027424708225485
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.999999999993354,0.8446598811533701,0.5515621101495419,0.42353761827643466,0.34944164337366085,0.2801699983436673
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999998242105,0.7884876626482331,0.5117704360328267,0.39057094114565705,0.3203358187053345,0.2525679547955123
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999930658148,0.7170986310508809,0.46122919076846297,0.3484018939687084,0.2832198772512692,0.2184054133201077
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999995493360986,0.623035986694206,0.39412051952260946,0.29251703869654644,0.2346340260766228,0.17573068891609014
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999992,0.9999424009435204,0.49125421321004037,0.2993854779903758,0.21541806496467245,0.16942419079843743,0.12228410393275309
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999981246,0.9740189656417862,0.2793610690641332,0.1543947274416237,0.10568267976740577,0.08120158869071462,0.056414033587200804
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999979,0.2765083697882251,0.02632495832877679,0.013709324816794204,0.009292001171969544,0.007069952393928841,0.0057822658473521,0.004280980165017899
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0002853073997778625,0.00011775260480481335,7.41512847873513e-5,5.4128948775820564e-5,4.264625708936389e-5,3.521655597324544e-5,3.0040457007533163e-5,2.6278082753767965e-5,2.3536289835521397e-5,1.9589747240708883e-5
